Wavelength(nm),irradiance(¦ÌW/cm^2/nm)
686.31,0.19
686.649,0.21
686.987,0.22
687.325,0.19
687.663,0.19
688.001,0.18
688.338,0.17
688.676,0.17
689.014,0.17
689.352,0.18
689.69,0.16
690.027,0.18
690.365,0.19
690.702,0.15
691.04,0.16
691.377,0.2
691.715,0.16
692.052,0.16
692.389,0.16
692.726,0.19
693.064,0.15
693.401,0.16
693.738,0.15
694.075,0.17
694.412,0.16
694.749,0.15
695.086,0.15
695.423,0.17
695.759,0.14
696.096,0.13
696.433,0.12
696.769,0.13
697.106,0.16
697.443,0.15
697.779,0.13
698.116,0.15
698.452,0.15
698.788,0.15
699.125,0.14
699.461,0.13
699.797,0.13
700.133,0.13
700.469,0.13
700.805,0.11
701.141,0.11
701.477,0.13
701.813,0.13
702.149,0.13
702.485,0.13
702.82,0.12
703.156,0.1
703.492,0.12
703.827,0.11
704.163,0.1
704.498,0.1
704.834,0.12
705.169,0.09
705.505,0.14
705.84,0.08
706.175,0.13
706.51,0.13
706.845,0.1
707.18,0.09
707.515,0.09
707.85,0.12
708.185,0.11
708.52,0.12
708.855,0.08
709.19,0.1
709.525,0.1
709.859,0.11
710.194,0.1
710.529,0.09
710.863,0.07
711.198,0.11
711.532,0.1
711.866,0.09
712.201,0.11
712.535,0.1
712.869,0.13
713.203,0.08
713.537,0.08
713.872,0.08
714.206,0.1
714.54,0.09
714.873,0.09
715.207,0.04
715.541,0.05
715.875,0.07
716.209,0.06
716.542,0
716.876,0.06
717.21,0.09
717.543,0.07
717.877,0.07
718.21,0.07
718.543,0.07
718.877,0.03
719.21,0.06
719.543,0.07
719.876,0.08
720.209,0.1
720.542,0.06
720.875,0.08
721.208,0.07
721.541,0.06
721.874,0.05
722.207,0.07
722.54,0.05
722.872,0.07
723.205,0.05
723.538,0.05
723.87,0.06
724.203,0.06
724.535,0.04
724.868,0.06
725.2,0.07
725.532,0.05
725.865,0.06
726.197,0.04
726.529,0.05
726.861,0.06
727.193,0.07
727.525,0.07
727.857,0.07
728.189,-0.09
728.521,0.05
728.853,0.05
729.184,0.04
729.516,0.06
729.848,0.02
730.179,0.02
730.511,0.03
730.842,0.04
731.174,0.07
731.505,0.05
731.836,0.06
732.168,0.04
732.499,0.04
732.83,0.05
733.161,0.02
733.492,0.03
733.823,0.08
734.154,0.03
734.485,-0.02
734.816,0.04
735.147,0.05
735.478,0.03
735.808,0.03
736.139,0.03
736.47,0.02
736.8,0.02
737.131,0.02
737.461,0.06
737.792,-0.02
738.122,0.05
738.452,0.05
738.782,0.03
739.113,0.03
739.443,0.04
739.773,0.05
740.103,0.05
740.433,0.03
740.763,0.06
741.093,0.08
741.423,0.03
741.752,0.01
742.082,0.03
742.412,0.06
742.742,0.05
743.071,0.05
743.401,0.03
743.73,0.04
744.06,0
744.389,0.05
744.718,0.02
745.048,0
745.377,0.06
745.706,0.04
746.035,0.04
746.364,0.03
746.693,-0.09
747.022,0.02
747.351,0.03
747.68,0
748.009,0.05
748.338,0.03
748.666,0.02
748.995,0.04
749.323,0.02
749.652,0.02
749.981,0.02
750.309,0.03
750.637,0.04
750.966,0.01
751.294,0.06
751.622,0.03
751.95,0.03
752.279,0.02
752.607,0.04
752.935,0.02
753.263,0.03
753.591,0.01
753.919,0.03
754.246,0.01
754.574,0.06
754.902,0
755.23,-0.01
755.557,0.02
755.885,0.05
756.212,0.01
756.54,-0.01
756.867,0.02
757.195,0.03
757.522,0.01
757.849,0.02
758.176,0.02
758.503,-0.01
758.831,0.01
759.158,-0.01
759.485,0.04
759.812,0
760.138,0
760.465,0.05
760.792,-0.02
761.119,-0.03
761.446,-0.02
761.772,-0.05
762.099,0.01
762.425,0.02
762.752,0.01
763.078,0.02
763.405,0.02
763.731,0.03
764.057,0.01
764.383,-0.03
764.71,0.03
765.036,0.04
765.362,0
765.688,0
766.014,0.06
766.34,-0.02
766.665,-0.04
766.991,-0.01
767.317,0.03
767.643,0.04
767.968,-0.03
768.294,0.04
768.619,-0.04
768.945,0.04
769.27,0.04
769.596,-0.01
769.921,0.01
770.246,-0.05
770.572,0.04
770.897,-0.02
771.222,-0.01
771.547,-0.02
771.872,0.06
772.197,-0.02
772.522,0.05
772.847,0
773.171,0.04
773.496,0
773.821,-0.02
774.146,0
774.47,-0.01
774.795,-0.02
775.119,0.01
775.444,0.04
775.768,-0.01
776.092,0
776.417,0.04
776.741,-0.04
777.065,-0.03
777.389,0.04
777.713,0.01
778.037,0.03
778.361,-0.08
778.685,0.03
779.009,0.03
779.333,0.05
779.657,0.02
779.98,0.04
780.304,-0.03
780.627,0
780.951,-0.03
781.274,0.07
781.598,-0.01
781.921,0.02
782.245,0
782.568,-0.01
782.891,-0.01
783.214,-0.01
783.537,0.05
783.861,0.05
784.184,-0.05
784.506,-0.02
784.829,0.04
785.152,-0.03
785.475,0.04
785.798,-0.04
786.12,0.01
786.443,-0.03
786.766,0.04
787.088,-0.05
787.411,0.02
787.733,-0.01
788.056,0.02
788.378,0.02
788.7,0.01
789.022,-0.02
789.345,0
789.667,0
789.989,0.01
790.311,0.02
790.633,-0.07
790.955,0.02
791.276,0.04
791.598,0.08
791.92,0.06
792.242,0
792.563,0.02
792.885,-0.02
793.206,0.04
793.528,0.01
793.849,-0.04
794.171,-0.02
794.492,0.04
794.813,0.04
795.134,0.04
795.456,-0.01
795.777,-0.04
796.098,0.04
796.419,0.03
796.74,-0.71
797.061,0
797.381,0.01
797.702,0.03
798.023,0
798.344,-0.01
798.664,0
798.985,-0.01
799.305,0.02
799.626,-0.01
799.946,-0.01
800.267,0
800.587,0.01
800.907,0.05
801.227,0.01
801.548,-0.05
801.868,-0.94
802.188,-0.03
802.508,-0.06
802.828,-0.01
803.147,-0.03
803.467,0.01
803.787,0
804.107,0.08
804.426,-0.15
804.746,-0.04
805.066,0
805.385,-0.05
805.705,-0.02
806.024,-0.03
806.343,-0.03
806.663,0
806.982,0.04
807.301,0
807.62,-0.01
807.939,0
808.258,-0.02
808.577,0.04
808.896,0.07
809.215,-0.01
809.534,-0.04
809.852,-0.02
810.171,-0.05
810.49,0.03
810.808,0.05
811.127,0.03
811.445,0.06
811.764,0.01
812.082,0.05
812.401,-0.03
812.719,-0.19
813.037,-0.03
813.355,0.02
813.673,0
813.991,-0.04
814.309,0.04
814.627,-0.03
814.945,0.01
815.263,-0.02
815.581,-0.04
815.899,0.03
816.216,-0.01
816.534,0.04
816.851,-0.05
817.169,-0.01
817.486,-0.04
817.804,0.04
818.121,0.06
818.438,-0.07
818.756,0.07
819.073,-0.01
819.39,-0.01
819.707,0.04
820.024,0.05
820.341,0.02
820.658,-0.09
820.975,0
821.292,0
821.608,0.04
821.925,0
822.242,-0.02
822.558,0
822.875,0.02
823.191,0
823.508,0.07
823.824,0.03
824.141,0.03
824.457,-0.29
824.773,-0.02
825.089,0
825.405,0.01
825.721,-0.02
826.037,-0.04
826.353,-0.04
826.669,0.02
826.985,0.07
827.301,-0.02
827.617,0
827.932,0
828.248,0.09
828.563,0.04
828.879,-0.01
829.194,0.02
829.51,0.02
829.825,0.07
830.14,0.1
830.456,0.04
830.771,0.01
831.086,0
831.401,0.05
831.716,-0.02
832.031,-0.01
832.346,-0.17
832.661,0
832.976,0.02
833.29,-0.01
833.605,0.01
833.92,-0.01
834.234,0.1
834.549,-0.15
834.863,-0.19
835.178,0
835.492,-0.08
835.806,0.09
836.121,-0.01
836.435,0.05
836.749,-0.29
837.063,-0.01
837.377,-0.05
837.691,0.02
838.005,0.01
838.319,0.08
838.633,-0.06
838.946,-0.06
839.26,0.01
839.574,-0.61
839.887,-0.04
840.201,0.04
840.514,0.01
840.828,0.03
